School,G,Overall W-L%,Overall SRS,Overall SOS,Conf. W-L%,Home W-L%,Away W-L%,AVG PPG,AVG DPPG,AVG PD,AST/TOV,PF/G,Year
Creighton,35,0.657,11.34,8.54,0.632,0.733,0.545,69.2,66.4,2.8,0.947,13.6,2022
Dartmouth,25,0.36,-4.12,-2.62,0.429,0.5,0.267,68.36,68.2,0.16,0.906,16.12,2022
Davidson,34,0.794,10.43,1.92,0.833,0.929,0.75,75.5,66,9.5,1.495,14.82,2022
Dayton,35,0.686,10.41,2.41,0.778,0.765,0.538,69.229,61.229,8,1.164,13.94,2022
Delaware,35,0.629,0.32,-1.82,0.556,0.643,0.615,73.371,70.171,3.2,1,15.63,2022
Delaware St.,28,0.071,-22.63,-7.39,0,0.154,0,62.75,73.5,-10.75,0.554,18,2022
Denver,32,0.344,-10.12,-5.96,0.389,0.462,0.25,70.531,74.375,-3.844,0.952,17.41,2022
DePaul,31,0.484,7.83,6.73,0.3,0.611,0.333,73.29,72.194,1.097,0.932,15.74,2022
Detroit,30,0.467,-6.33,-5.02,0.588,0.9,0.25,70.733,70.5,0.233,1.04,15.43,2022
Drake,36,0.694,7.34,1.04,0.722,0.824,0.8,73.889,66.417,7.472,1.098,16.97,2022
Drexel,29,0.517,-0.29,-1.9,0.556,0.667,0.462,72.828,70.276,2.552,1.146,15.17,2022
Duke,39,0.821,19.55,7.26,0.8,0.833,0.818,80.051,67.769,12.282,1.605,13.64,2022
Duquesne,30,0.2,-6.34,1.86,0.059,0.214,0.091,65.2,73.4,-8.2,0.872,13.87,2022
East Carolina,30,0.5,0.49,2.66,0.353,0.75,0.222,68.767,70.933,-2.167,1.136,16.23,2022
East Tennessee St.,32,0.469,-2.76,-0.36,0.389,0.571,0.286,72.063,73,-0.938,1.167,14.84,2022
Eastern Illinois,31,0.161,-21.07,-3.97,0.167,0.308,0.059,56.323,71.129,-14.806,0.74,14.55,2022
Eastern Kentucky,31,0.419,-6.75,-5.38,0.313,0.706,0.071,79.258,75.065,4.194,1.351,16.55,2022
Eastern Michigan,31,0.323,-10.86,-3.03,0.25,0.533,0.125,69.129,76,-6.871,0.732,17.48,2022
Eastern Washington,34,0.529,-5.2,-5.14,0.55,0.75,0.421,76.853,74.588,2.265,1.191,18.56,2022
Elon,32,0.313,-6.15,1.39,0.389,0.5,0.214,67.094,72.219,-5.125,0.962,20.34,2022
Evansville,30,0.2,-10.95,1.4,0.111,0.308,0.154,59.167,70.733,-11.567,0.94,14.67,2022
Fairfield,33,0.455,-3.88,-4.09,0.4,0.4,0.5,67.848,65.97,1.879,1.082,15.94,2022
Fairleigh Dickinson,26,0.154,-18.13,-6.21,0.267,0.333,0.059,67.231,79.154,-11.923,0.86,18.27,2022
Florida,34,0.588,11.93,7.84,0.5,0.722,0.364,70.588,66.5,4.088,1.031,15.97,2022
Florida A&M,30,0.433,-12.05,-6.7,0.611,0.667,0.294,65.067,68.8,-3.733,0.96,17.73,2022
Florida Atlantic,34,0.559,2.63,-1.82,0.611,0.737,0.333,74.088,68.088,6,1.039,16.91,2022
Florida Gulf Coast,34,0.647,-3.07,-4.91,0.625,0.842,0.4,77.676,73.676,4,1.166,14.82,2022
Florida International,32,0.469,-6.47,-3.27,0.278,0.688,0.083,70.75,71.063,-0.313,0.991,15.44,2022
Florida St.,31,0.548,6.39,7.32,0.5,0.733,0.333,71,71.935,-0.935,1.15,16.32,2022
Fordham,32,0.5,-0.89,-0.2,0.444,0.714,0.25,66.094,66.781,-0.688,0.9,17.66,2022
Fresno St.,36,0.639,8.36,1.94,0.471,0.778,0.429,66.222,59.417,6.806,1.072,15.42,2022
Furman,34,0.647,6.2,-1.44,0.667,0.8,0.5,77.647,68.706,8.941,1.655,14.59,2022
Gardner Webb,31,0.581,-2.35,-4.43,0.688,0.786,0.4,69.484,64.161,5.323,0.983,18.29,2022
George Mason,30,0.467,4.18,1.98,0.438,0.714,0.333,70.733,68.533,2.2,1.155,16,2022
George Washington,30,0.4,-4.07,0.4,0.471,0.615,0.231,68.367,72.833,-4.467,0.971,17.07,2022
Georgetown,31,0.194,1.71,8.03,0,0.353,0,70.71,77.032,-6.323,0.884,16.19,2022
Georgia,32,0.188,-0.63,8.06,0.056,0.316,0,69.813,78.5,-8.688,0.961,15.03,2022
Georgia Southern,29,0.448,-7.04,-3.04,0.313,0.583,0.286,66.448,65.621,0.828,0.836,17.55,2022
Georgia St.,29,0.621,-1.11,-1.34,0.643,0.667,0.545,70.655,65.724,4.931,1.153,16.07,2022
Georgia Tech,32,0.375,2.24,6.08,0.25,0.444,0.273,68.594,70.75,-2.156,1.045,18,2022
Gonzaga,32,0.875,25.46,4.5,0.929,1,0.833,87.188,66.219,20.969,1.562,15.53,2022
Grambling,32,0.375,-12.35,-5.08,0.471,0.6,0.222,65.375,71.031,-5.656,0.769,18.28,2022
Grand Canyon,31,0.742,5.81,-2.57,0.706,0.882,0.545,71.097,61.226,9.871,0.983,17.74,2022
Green Bay,30,0.167,-13.89,-5.44,0.2,0.308,0.071,61.733,68.933,-7.2,0.832,15.4,2022
Hampton,28,0.321,-13.54,-6,0.313,0.636,0.154,64.786,69.5,-4.714,0.83,18.39,2022
Hartford,32,0.375,-10.03,-7.69,0.5,0.583,0.278,69.813,72.156,-2.344,1,14.97,2022
Harvard,26,0.5,-4.68,-4.2,0.357,0.6,0.364,71.462,69.115,2.346,0.919,15.73,2022
Hawaii,28,0.607,-0.52,-3.06,0.706,0.714,0.5,68.857,64.143,4.714,0.942,16.82,2022
High Point,32,0.438,-6.53,-3.39,0.438,0.625,0.231,69.531,69.75,-0.219,0.937,17.34,2022
Hofstra,32,0.656,1.8,-0.6,0.722,0.857,0.5,77.938,72.906,5.031,1.5,14.94,2022
Holy Cross,31,0.29,-16.84,-7.87,0.389,0.357,0.267,65.226,70.71,-5.484,0.816,16.87,2022
Houston,38,0.842,22.55,6.47,0.833,0.941,0.7,74.842,58.763,16.079,1.459,17.16,2022
Houston Christian,29,0.379,-14.47,-6.71,0.429,0.538,0.273,75.517,76.552,-1.034,0.89,18.97,2022
Howard,29,0.552,-6.76,-8.53,0.643,0.692,0.385,76.379,69.621,6.759,0.977,18.07,2022
Idaho,31,0.29,-13.19,-4.78,0.3,0.533,0.077,73,79.613,-6.613,0.877,19.58,2022
Idaho St.,30,0.233,-14.96,-5.28,0.25,0.385,0.125,64.367,71.533,-7.167,0.756,18.17,2022
Illinois,33,0.697,16.69,9.48,0.75,0.813,0.636,74.424,67.212,7.212,1.228,16.3,2022
Illinois St.,33,0.394,-0.78,0.74,0.278,0.647,0.083,74.152,74.727,-0.576,0.894,17.36,2022
Illinois-Chicago,30,0.467,-8.78,-6.37,0.474,0.5,0.5,71.967,72.933,-0.967,1.225,17.17,2022
Incarnate Word,32,0.219,-17.03,-4.34,0.214,0.333,0.083,67.031,76.406,-9.375,0.855,17.38,2022
Indiana,35,0.6,12.71,8.08,0.45,0.778,0.273,70.8,66.171,4.629,1.234,17.4,2022
Indiana St.,31,0.355,-3.49,1.94,0.222,0.571,0.154,70.452,71.935,-1.484,0.995,15.23,2022
Iona,33,0.758,5.47,-1.14,0.85,1,0.583,75.212,68.606,6.606,1.273,18.21,2022
Iowa,36,0.722,18.9,6.87,0.6,0.833,0.5,83.194,71.167,12.028,1.738,16.19,2022
Iowa St.,35,0.629,12.38,9.33,0.389,0.737,0.4,65.6,62.543,3.057,1.06,18.26,2022
IUPUI,29,0.103,-23.61,-6.5,0.059,0.154,0.071,52.448,67.138,-14.69,0.63,17.69,2022
Jackson St.,30,0.367,-10.1,-5.6,0.5,0.667,0.25,60.967,65.467,-4.5,0.823,17.07,2022
Jacksonville,31,0.677,-2.06,-5.21,0.688,1,0.375,67.129,59.323,7.806,1.099,15.06,2022
Jacksonville St.,32,0.656,-0.19,-3.79,0.813,0.733,0.643,73.531,67.219,6.313,1.093,14.34,2022
James Madison,29,0.517,-4.13,-1.1,0.333,0.6,0.455,75.103,73.207,1.897,1.078,16.41,2022
Kansas,40,0.85,22.28,11.3,0.778,0.941,0.6,78.225,67.25,10.975,1.267,15.93,2022
Kansas City,31,0.613,-5.49,-5.23,0.667,0.786,0.533,74.548,67.258,7.29,1.262,20.16,2022
Kansas St.,31,0.452,10.61,9.06,0.333,0.563,0.417,69,67.452,1.548,1.084,17.1,2022
Kennesaw St.,31,0.419,-4.51,-2.62,0.438,0.625,0.2,74.806,71.161,3.645,1.164,17.13,2022
Kent St.,34,0.676,-0.13,-3.07,0.8,0.733,0.615,71.265,65.206,6.059,1.017,18.12,2022
Kentucky,34,0.765,20.9,8.02,0.778,1,0.545,79.441,66.559,12.882,1.393,14.32,2022
La Salle,30,0.367,-3.5,0.54,0.278,0.533,0.167,67.5,71.533,-4.033,1.018,17.23,2022
Lafayette,30,0.333,-12.6,-6.67,0.389,0.4,0.267,67.8,72.833,-5.033,1.465,14.4,2022
Lamar,29,0.069,-15.86,-2.6,0,0.182,0,61.31,72.966,-11.655,0.761,18.79,2022
Lehigh,32,0.406,-10.82,-7.56,0.556,0.563,0.25,68.438,71.375,-2.938,1.061,16.88,2022
Liberty,33,0.667,1.86,-4.01,0.75,0.813,0.667,73.364,63.455,9.909,1.269,15,2022
Lipscomb,33,0.424,-8.42,-3.29,0.375,0.6,0.188,74,76.848,-2.848,1.181,13.45,2022
Little Rock,28,0.321,-12.05,-0.73,0.214,0.462,0.091,66.714,73.107,-6.393,0.941,16.71,2022
Long Beach St.,33,0.606,-0.65,0.35,0.824,0.786,0.462,73.848,73,0.848,0.941,16.42,2022
LIU Brooklyn,30,0.533,-7.62,-7.03,0.667,0.923,0.235,74.833,73.467,1.367,1.245,16.93,2022
Longwood,33,0.788,-0.35,-6.11,0.938,0.941,0.583,75.727,65.758,9.97,1.163,15.36,2022
Louisiana Lafayette,31,0.516,-2.71,-2.91,0.471,0.538,0.429,71.065,69.387,1.677,0.807,17.9,2022
LSU,34,0.647,17.45,8.3,0.5,0.882,0.273,72.559,63.412,9.147,0.864,19.15,2022
Louisiana Tech,34,0.706,5.23,0.11,0.667,0.813,0.615,75.235,68,7.235,1.186,14.62,2022
Louisiana-Monroe,31,0.419,-8.7,-2.59,0.278,0.533,0.333,72.452,74.323,-1.871,1.18,16.81,2022
Louisville,32,0.406,4.23,7.01,0.3,0.5,0.167,67.313,70.094,-2.781,0.977,17.16,2022
Loyola Chicago,33,0.758,13.39,2.93,0.722,0.857,0.727,72.818,61.485,11.333,1.218,17.21,2022
Loyola MD,30,0.467,-8.4,-7.95,0.444,0.769,0.2,66.133,65.667,0.467,1.146,15.33,2022
Loyola Marymount,29,0.379,-1.93,3.25,0.2,0.462,0.25,69.31,74.069,-4.759,0.839,17.76,2022
Maine,29,0.207,-18.38,-5.34,0.167,0.357,0.067,62.448,71.138,-8.69,1.055,17.41,2022
Manhattan,30,0.5,-7.64,-3.85,0.4,0.615,0.308,70.867,72.633,-1.767,0.797,18,2022
Marist,30,0.467,-4.26,-4.86,0.45,0.538,0.438,68.767,68.167,0.6,0.725,15.57,2022
Marquette,32,0.594,11.36,8.96,0.579,0.813,0.364,74.031,71.625,2.406,1.29,17.38,2022
Marshall,33,0.364,-4.57,0.14,0.222,0.471,0.214,74,76.455,-2.455,1.088,15.48,2022
Maryland,32,0.469,9.34,9.12,0.35,0.556,0.3,70.938,70.719,0.219,1.016,15.16,2022
UMBC,32,0.563,-6.06,-6.51,0.611,0.733,0.375,73.719,72.094,1.625,1.128,13.34,2022
Maryland-Eastern Shore,27,0.407,-13.1,-7.14,0.429,0.6,0.313,65.852,66.37,-0.519,0.808,16.78,2022
Massachusetts,32,0.469,-0.67,1.7,0.389,0.667,0.273,75.688,78.063,-2.375,1.178,17.06,2022
Massachusetts-Lowell,31,0.484,-7.08,-6.65,0.389,0.571,0.4,70.677,65.806,4.871,0.938,15.97,2022
McNeese St.,33,0.333,-11.76,-5.04,0.286,0.545,0.133,78.152,77.424,0.727,0.78,20.06,2022
Memphis,33,0.667,14.67,7.86,0.722,0.867,0.455,75.152,68.333,6.818,0.991,18.82,2022
Mercer,33,0.485,-3.41,-1.15,0.444,0.714,0.267,70.455,70.545,-0.091,1.159,15.21,2022
Merrimack,30,0.467,-10.86,-6.82,0.529,0.5,0.438,61.433,64.367,-2.933,0.98,15.93,2022
Miami FL,37,0.703,11.22,7.62,0.7,0.667,0.833,73.946,70.351,3.595,1.486,14.86,2022
Miami (OH),32,0.438,-6.35,-4.14,0.4,0.529,0.357,75.25,73.469,1.781,1.325,16,2022
Michigan,34,0.559,14.26,11.02,0.55,0.667,0.417,72.647,69.412,3.235,1.215,15.18,2022
Michigan St.,36,0.639,13.18,9.96,0.55,0.8,0.455,72.25,69.028,3.222,1.231,16.92,2022
Middle Tennessee,37,0.703,4.5,-1.16,0.722,1,0.357,74.892,67.189,7.703,0.964,18.38,2022
Milwaukee,32,0.313,-13.19,-6.32,0.364,0.375,0.286,64.781,70.75,-5.969,0.865,16.91,2022
Minnesota,30,0.433,5.93,8.13,0.2,0.533,0.25,67,69.2,-2.2,1.373,14.07,2022
Mississippi,32,0.406,6.72,7.25,0.222,0.556,0.222,68.125,68.656,-0.531,1.079,15.19,2022
Mississippi St.,34,0.529,11.83,7.6,0.444,0.824,0.091,70.471,66.235,4.235,1.018,15.71,2022
Mississippi Valley St.,28,0.071,-22.15,-6.4,0.111,0,0.118,67.214,82.964,-15.75,0.864,18.14,2022
Missouri,33,0.364,2.94,9.1,0.278,0.5,0.167,65.455,70.455,-5,0.838,17.79,2022
Missouri St.,34,0.676,8.29,1.05,0.722,0.75,0.615,77.294,68.882,8.412,1.141,15.35,2022
Monmouth,34,0.618,-0.39,-1.68,0.55,0.643,0.588,68.618,67.324,1.294,0.997,18.09,2022
Montana,32,0.563,-6.48,-6.21,0.55,0.824,0.286,72.188,66.906,5.281,1.28,18.72,2022
Montana St.,35,0.771,-0.26,-5.54,0.8,0.929,0.6,76.543,69.286,7.257,1.027,18.26,2022
Morehead St.,34,0.676,0.79,-3.43,0.722,0.857,0.5,69.971,63.471,6.5,1.192,15.03,2022
Morgan St.,28,0.464,-12.62,-8.12,0.538,0.727,0.231,75,72.321,2.679,0.961,19.68,2022
Mount St. Mary's,30,0.467,-8.2,-7.2,0.563,0.615,0.353,66.133,65.267,0.867,1.026,15.73,2022
Murray St.,34,0.912,9.87,-3.07,1,1,0.917,79.118,63.235,15.882,1.288,15.41,2022
Navy,32,0.656,-2.94,-6.36,0.667,0.6,0.688,64.969,60.125,4.844,0.951,15.97,2022
North Carolina St.,32,0.344,3.77,6.37,0.2,0.412,0.3,73,75.594,-2.594,1.128,16.47,2022
Nebraska,32,0.313,3,8.25,0.2,0.368,0.273,73.281,78.531,-5.25,1.015,17.38,2022
Nevada,31,0.419,3.71,6.07,0.333,0.5,0.25,72.548,73.677,-1.129,1.108,17.58,2022
UNLV,32,0.563,7.2,4.58,0.556,0.778,0.364,69.875,65.594,4.281,1.235,17.84,2022
New Hampshire,28,0.536,-6.32,-7.21,0.556,0.714,0.357,68.75,64.964,3.786,1.339,13.43,2022
New Mexico,32,0.406,1.25,4.32,0.294,0.611,0.182,74.25,75.344,-1.094,1.003,18.34,2022
New Mexico St.,34,0.794,7.11,1.24,0.765,0.867,0.75,72.471,64.618,7.853,0.973,15.85,2022
New Orleans,32,0.563,-7.88,-7.16,0.714,0.857,0.231,77.156,74.531,2.625,0.91,18.81,2022
Niagara,30,0.467,-3.09,-2.98,0.45,0.636,0.333,67.4,65.5,1.9,1.119,15.2,2022
Nicholls St.,33,0.636,-3.62,-5.9,0.786,0.917,0.467,78.485,71.273,7.212,1.106,18.21,2022
NJIT,29,0.379,-14.63,-6.17,0.333,0.429,0.333,62.966,70,-7.034,0.788,15.79,2022
Norfolk St.,31,0.774,-3.91,-9.3,0.857,1,0.538,74.258,64.419,9.839,0.887,17.65,2022
North Alabama,30,0.3,-11.33,-3.21,0.125,0.462,0.2,69.367,68.533,0.833,0.852,18.63,2022
North Carolina,39,0.744,15.5,8.89,0.75,0.882,0.727,77.897,71.282,6.615,1.279,14.46,2022
North Carolina A&T,32,0.375,-9.91,-4.46,0.375,0.636,0.188,67.719,70.313,-2.594,0.966,19.09,2022
North Carolina Central,31,0.516,-11.39,-7.47,0.615,0.818,0.313,72.774,68.387,4.387,0.787,20.35,2022
North Dakota,31,0.194,-16.57,-5.26,0.111,0.267,0.071,70.258,78.839,-8.581,1.005,17.35,2022
North Dakota St.,33,0.697,-1.6,-4.66,0.722,0.8,0.6,74.818,68.697,6.121,0.956,15.58,2022
North Florida,31,0.355,-8.35,0.08,0.438,0.583,0.211,68.516,71.161,-2.645,0.87,15.68,2022
North Texas,32,0.781,8.98,1.28,0.889,0.813,0.9,65.094,55.719,9.375,0.959,15.84,2022
Northeastern,31,0.29,-6,-1.19,0.111,0.429,0,64.29,69.097,-4.806,0.813,15.23,2022
Northern Arizona,32,0.281,-13.5,-4.1,0.25,0.313,0.214,67.531,73.344,-5.813,0.935,18.31,2022
Northern Colorado,38,0.579,-4.53,-3.67,0.65,0.692,0.471,77.947,76.947,1,0.994,17.24,2022
Northern Illinois,30,0.3,-10.5,-3.07,0.3,0.273,0.353,64.1,71.533,-7.433,0.82,20.4,2022
Northern Iowa,32,0.625,5.79,3.43,0.778,0.714,0.643,74.469,71.031,3.438,1.059,13.88,2022
Northern Kentucky,32,0.625,-3.19,-6.19,0.7,0.75,0.5,69.906,65.094,4.813,1.045,15.25,2022
Northwestern,31,0.484,8.91,7.11,0.35,0.625,0.273,72.968,69.935,3.032,1.617,17.58,2022
Northwestern St.,32,0.281,-14.06,-3.2,0.357,0.5,0.125,73.844,80.406,-6.563,1.078,16.94,2022
Notre Dame,35,0.686,11.87,7.01,0.75,0.933,0.583,72.571,67.114,5.457,1.345,12.74,2022
Oakland,32,0.625,-1.52,-4.06,0.632,0.769,0.467,74.406,68.563,5.844,1.092,13.66,2022
Ohio,35,0.714,1.5,-4.17,0.7,0.882,0.571,74.029,67.943,6.086,1.198,14.43,2022
Ohio St.,32,0.625,14.17,9.08,0.6,0.813,0.455,72.781,67.688,5.094,1.117,16.41,2022
Oklahoma,35,0.543,14.12,10.1,0.389,0.667,0.273,69.057,65.029,4.029,0.952,15.49,2022
Oklahoma St.,30,0.5,13.28,10.58,0.444,0.625,0.273,68.367,65.667,2.7,0.839,17.4,2022
Old Dominion,32,0.406,-1.32,-0.09,0.444,0.714,0.214,66.469,67.031,-0.563,1.037,15.88,2022
Omaha,30,0.167,-16.99,-2.27,0.222,0.357,0,69.6,83.5,-13.9,0.8,19.23,2022
Oral Roberts,31,0.613,-0.84,-4.49,0.667,0.667,0.571,83.29,74.387,8.903,1.186,15.35,2022
Oregon,35,0.571,10.05,8.05,0.55,0.706,0.5,72.343,69.714,2.629,1.036,16.63,2022
Oregon St.,31,0.097,-1.44,8.4,0.05,0.188,0,68.29,78.129,-9.839,0.967,17.55,2022
Pacific,30,0.267,-8.02,0.41,0.214,0.5,0,65.867,72.733,-6.867,0.93,16.53,2022
Penn St.,31,0.452,8.72,9.1,0.35,0.667,0.091,64.613,65,-0.387,1.005,15.42,2022
Penn,28,0.429,-3.93,-0.5,0.643,0.667,0.333,72.036,75.464,-3.429,1.073,17.25,2022
Pepperdine,32,0.219,-7.04,3.42,0.063,0.438,0,68.219,77.5,-9.281,1.004,17.88,2022
Pittsburgh,32,0.344,0.45,6.98,0.3,0.421,0.25,61.531,68.063,-6.531,0.809,15.28,2022
Portland,34,0.559,-1.71,-1.11,0.5,0.733,0.4,74.235,72.176,2.059,1.087,16.38,2022
Portland St.,31,0.452,-7.7,-5.67,0.5,0.5,0.357,73.548,72.161,1.387,0.917,19.81,2022
Prairie View,27,0.296,-10.47,-3.66,0.5,0.556,0.188,69.519,76.333,-6.815,0.656,21.22,2022
Presbyterian,32,0.375,-8.47,-3.65,0.25,0.5,0.2,67.813,67.938,-0.125,0.929,19.06,2022
Princeton,30,0.767,2.65,-3.95,0.857,0.929,0.667,79.833,70.1,9.733,1.521,14.03,2022
Providence,33,0.818,13.08,7.75,0.824,0.941,0.778,71.515,66.182,5.333,1.159,15.97,2022
Purdue,37,0.784,19.15,8.23,0.7,0.941,0.5,79.351,68.432,10.919,1.378,14.46,2022
Purdue-Fort Wayne,33,0.636,-5.59,-6.69,0.714,0.875,0.462,73.455,69.636,3.818,1.05,15.24,2022
Quinnipiac,31,0.452,-5.56,-4.2,0.35,0.533,0.308,71.806,71.484,0.323,1.109,16.71,2022
